name_gpu,alexnet,inception3,inception4,resnet152,resnet50,vgg16
3990X-GeForce_RTX_3080_TF1_15_1x,19354,1818,777,822,2988,909
3990X-GeForce_RTX_3080_XLA_TF1_15_1x,17759,1927,874,669,3011,1085
7742-1xA100-SXM4-40GB_TF2_3_1x,39045,3962,1888,2981,6467,2777
Gold_6230-GeForce_RTX_2080_Ti_NVLink_XLA_trt_TF1_15_1x,12267,1647,694,1011,2792,1386
Gold_6230-GeForce_RTX_2080_Ti_NVLink_XLA_trt_TF2_2_8x,92575,12838,5100,7524,21652,10811
Gold_6230-GeForce_RTX_2080_Ti_NVLink_trt_TF1_15_8x,100901,10541,4598,7154,16994,6790
Gold_6230-GeForce_RTX_2080_Ti_NVLink_trt_TF2_2_8x,102101,10774,4733,7290,17420,6840
Gold_6230-GeForce_RTX_2080_Ti_XLA_trt_TF1_15_8x,93196,13080,5373,7826,21678,10898
Gold_6230-GeForce_RTX_2080_Ti_XLA_trt_TF2_2_8x,93845,13117,5362,7522,21331,10927
Gold_6230-GeForce_RTX_2080_Ti_trt_TF1_15_8x,101557,10607,4603,7172,16876,6861
Gold_6230-GeForce_RTX_2080_Ti_trt_TF2_2_8x,102817,10866,4667,7390,17521,6882
Gold_6230-Quadro_RTX_8000_NVLink_XLA_trt2_TF2_2_8x,116285,17377,8138,11012,27941,15545
Gold_6230-Quadro_RTX_8000_NVLink_XLA_trt_TF1_15_8x,114873,17021,7451,11058,27659,15717
Gold_6230-Quadro_RTX_8000_XLA_trt2_TF2_2_8x,116996,17451,8217,11082,28003,15718
Gold_6230-Quadro_RTX_8000_XLA_trt_TF1_15_8x,115548,17059,7458,11052,27950,15755
Platinum-Tesla_1xV100-SXM3-32GB_HP16_TF2_2_1x,23352,2443,1184,1759,3857,1409
Processor-LambdaCloud_1xQuadro_RTX_6000_1x,17289,1735,835,1239,2713,1125
Processor-LambdaCloud_2xQuadro_RTX_6000_2x,34777,3490,1672,2463,5404,2271
Processor-LambdaCloud_4xQuadro_RTX_6000_4x,67467,6884,3281,4877,10688,4468
