name_gpu,alexnet,inception3,inception4,resnet152,resnet50,vgg16
3990X-GeForce_RTX_3080_TF1_15_1x,6381,571,243,257,845,318
3990X-GeForce_RTX_3080_XLA_TF1_15_1x,6338,580,256,236,884,404
7742-1xA100-SXM4-40GB_TF2_3_1x,11755,1175,639,905,1990,70
Gold_6230-GeForce_RTX_2080_Ti_NVLink_XLA_trt_TF1_15_1x,5297,449,201,288,771,399
Gold_6230-GeForce_RTX_2080_Ti_NVLink_XLA_trt_TF2_2_8x,35277,3254,1237,1901,5528,2540
Gold_6230-GeForce_RTX_2080_Ti_NVLink_trt_TF1_15_8x,38587,1606,719,1047,2445,2093
Gold_6230-GeForce_RTX_2080_Ti_NVLink_trt_TF2_2_8x,39367,1523,710,1050,2257,2102
Gold_6230-GeForce_RTX_2080_Ti_XLA_trt_TF1_15_8x,35394,3263,1222,1891,5540,2542
Gold_6230-GeForce_RTX_2080_Ti_XLA_trt_TF2_2_8x,35001,3323,1272,1863,5323,2520
Gold_6230-GeForce_RTX_2080_Ti_trt_TF1_15_8x,38964,1604,720,1045,2436,2106
Gold_6230-GeForce_RTX_2080_Ti_trt_TF2_2_8x,39323,1475,696,1051,2264,2117
Gold_6230-Quadro_RTX_8000_NVLink_XLA_trt2_TF2_2_8x,53382,4709,2279,3083,7417,4662
Gold_6230-Quadro_RTX_8000_NVLink_XLA_trt_TF1_15_8x,55024,4624,2210,3313,7894,4710
Gold_6230-Quadro_RTX_8000_XLA_trt2_TF2_2_8x,53769,4721,2285,3124,7406,4681
Gold_6230-Quadro_RTX_8000_XLA_trt_TF1_15_8x,54831,4639,2202,3325,7934,4718
Platinum-Tesla_1xV100-SXM3-32GB_HP16_TF2_2_1x,9319,771,357,518,1276,456
Processor-LambdaCloud_1xQuadro_RTX_6000_1x,6900,504,241,304,750,349
Processor-LambdaCloud_2xQuadro_RTX_6000_2x,12723,715,356,421,1127,660
Processor-LambdaCloud_4xQuadro_RTX_6000_4x,24465,1266,572,766,1979,1370
