name_gpu,alexnet,inception3,inception4,resnet152,resnet50,vgg16
1080Ti,8119,578,267,358,968,468
2070MaxQ,6123,650,309,468,1012,388
2070MaxQ_XLA,5607,749,349,555,1454,625
2080MaxQ,7255,765,366,520,1151,450
2080MaxQ_XLA,6596,885,398,554,1525,742
2080SuperMaxQ,7543,816,395,565,1304,486
2080SuperMaxQ_XLA,6870,1002,470,648,1780,758
2080Ti_NVLink_XLA_trt,12267,1647,694,1011,2792,1386
2x2080Ti_NVLink_XLA_trt,24256,3279,1397,2004,5596,2744
4x2080Ti_NVLink_XLA_trt,48089,6520,2753,3956,8309,5488
8x2080Ti_NVLink_XLA_trt,92505,12890,5158,7676,21553,10817
2080Ti_NVLink_XLA_trt2,11955,1383,585,777,2249,1345
2x2080Ti_NVLink_XLA_trt2,24325,3286,1382,2038,5581,2747
4x2080Ti_NVLink_XLA_trt2,48075,6573,2748,3953,11107,5518
8x2080Ti_NVLink_XLA_trt2,93249,13093,5264,7611,21816,10958
2080Ti_NVLink_trt,13305,1344,621,979,2185,856
2x2080Ti_NVLink_trt,26434,2685,1193,1894,4335,1707
4x2080Ti_NVLink_trt,52228,5347,2357,3744,8580,3417
8x2080Ti_NVLink_trt,100901,10541,4598,7154,16994,6790
2080Ti_NVLink_trt2,13144,1289,543,887,2113,853
2x2080Ti_NVLink_trt2,26517,2677,1185,1907,4350,1714
4x2080Ti_NVLink_trt2,52506,5355,2345,3748,8714,3441
8x2080Ti_NVLink_trt2,102112,10637,4625,7219,17161,6859
2080Ti_XLA_trt,12293,1668,710,1024,2796,1385
2x2080Ti_XLA_trt,24264,3287,1347,2016,5544,2757
4x2080Ti_XLA_trt,48083,6498,2683,3982,11134,5527
8x2080Ti_XLA_trt,93196,13080,5373,7826,21678,10898
2080Ti_XLA_trt2,12290,1645,682,1018,2815,1386
2x2080Ti_XLA_trt2,24339,3300,1349,1984,5629,2768
4x2080Ti_XLA_trt2,48039,6544,2782,4073,11021,5546
8x2080Ti_XLA_trt2,93631,12995,5433,7729,21784,11068
2080Ti_trt,13367,1355,611,956,2186,858
2x2080Ti_trt,26416,2673,1197,1871,4357,1710
4x2080Ti_trt,52564,5348,2378,3736,8666,3432
8x2080Ti_trt,101557,10607,4603,7172,16876,6861
2080Ti_trt2,13484,1357,623,953,2204,857
2x2080Ti_trt2,26510,2707,1189,1897,4381,1712
4x2080Ti_trt2,52645,5383,2409,3774,8689,3429
8x2080Ti_trt2,101718,10739,4643,7353,17183,6852
3080,19354,1818,777,822,2988,909
3080_XLA,17759,1927,874,669,3011,1085
A100-SXM4,39045,3962,1888,2981,6467,2777
2xA100-SXM4,77010,7900,3761,5955,12844,5565
4xA100-SXM4,151376,15731,7448,11752,25466,11065
8xA100-SXM4,294839,31189,14850,23383,50421,22053
A100-SXM4_XLA,17696,4148,1946,3761,8273,1348
2xA100-SXM4_XLA,32438,8189,3792,7334,16306,2694
4xA100-SXM4_XLA,64305,16280,7541,14592,32351,5375
8xA100-SXM4_XLA,127240,32155,14799,28402,63524,10689
QuadroRTX8000_NVLink_XLA_trt,15187,2152,956,1420,3566,1986
2xQuadroRTX8000_NVLink_XLA_trt,29841,4272,1898,2815,7052,3928
4xQuadroRTX8000_NVLink_XLA_trt,59355,8576,3774,5602,14105,7854
8xQuadroRTX8000_NVLink_XLA_trt,114873,17021,7451,11058,27659,15717
QuadroRTX8000_NVLink_XLA_trt2,15378,2293,1091,1578,3976,2012
2xQuadroRTX8000_NVLink_XLA_trt2,29985,4413,2078,2836,7108,3945
4xQuadroRTX8000_NVLink_XLA_trt2,59009,8722,4088,5604,13967,7788
8xQuadroRTX8000_NVLink_XLA_trt2,116285,17377,8138,11012,27941,15545
QuadroRTX8000_NVLink_trt,16776,1685,847,1208,2590,1051
2xQuadroRTX8000_NVLink_trt,33008,3341,1657,2385,5155,2087
4xQuadroRTX8000_NVLink_trt,65416,6677,3329,4770,10290,4176
8xQuadroRTX8000_NVLink_trt,125277,13309,6592,9458,20393,8352
QuadroRTX8000_NVLink_trt2,17079,1760,883,1306,2698,1084
2xQuadroRTX8000_NVLink_trt2,33391,3466,1728,2560,5363,2135
4xQuadroRTX8000_NVLink_trt2,65814,6879,3401,5072,10623,4242
8xQuadroRTX8000_NVLink_trt2,128225,13762,6781,10017,21089,8487
QuadroRTX8000_XLA_trt,15208,2159,957,1415,3596,1993
2xQuadroRTX8000_XLA_trt,29875,4294,1906,2827,7077,3927
4xQuadroRTX8000_XLA_trt,59421,8586,3785,5590,14106,7874
8xQuadroRTX8000_XLA_trt,115548,17059,7458,11052,27950,15755
QuadroRTX8000_XLA_trt2,15401,2294,1097,1574,3956,2020
2xQuadroRTX8000_XLA_trt2,29957,4391,2082,2823,7106,3930
4xQuadroRTX8000_XLA_trt2,59381,8752,4118,5596,14194,7853
8xQuadroRTX8000_XLA_trt2,116996,17451,8217,11082,28003,15718
QuadroRTX8000_trt,16811,1689,846,1215,2599,1053
2xQuadroRTX8000_trt,33047,3345,1659,2392,5163,2089
4xQuadroRTX8000_trt,65505,6710,3353,4776,10306,4177
8xQuadroRTX8000_trt,127111,13377,6608,9422,20465,8407
QuadroRTX8000_trt2,17121,1757,882,1306,2703,1082
2xQuadroRTX8000_trt2,33375,3467,1725,2563,5355,2133
4xQuadroRTX8000_trt2,66032,6928,3436,5122,10664,4263
8xQuadroRTX8000_trt2,129101,13783,6812,10086,21211,8548
V100,23352,2443,1184,1759,3857,1409
8xV100,159106,17687,8536,12991,29216,10440
