name_gpu,num_gpu,alexnet,inception3,inception4,resnet152,resnet50,vgg16
1080Ti,1,7764,532,233,324,840,391
2070MaxQ,1,4811,368,146,214,541,281
2070MaxQ_XLA,1,5562,388,144,222,601,360
2080MaxQ,1,5473,406,0,236,609,0
2080MaxQ_XLA,1,6191,421,0,236,647,0
2080SuperMaxQ,1,5335,411,165,239,621,304
2080SuperMaxQ_XLA,1,6363,447,173,251,681,402
2080Ti_NVLink_XLA_trt,1,12047,802,292,434,1243,685
2x2080Ti_NVLink_XLA_trt,2,23898,1562,555,876,2454,1369
4x2080Ti_NVLink_XLA_trt,4,46873,3137,1079,1673,4842,2687
8x2080Ti_NVLink_XLA_trt,8,90611,6288,2139,3339,9523,5353
2080Ti_NVLink_XLA_trt2,1,11545,691,255,328,1035,653
2x2080Ti_NVLink_XLA_trt2,2,23654,1554,540,856,2462,1336
4x2080Ti_NVLink_XLA_trt2,4,47307,3014,1006,1710,4852,2691
8x2080Ti_NVLink_XLA_trt2,8,90930,5987,1971,3351,9565,5364
2080Ti_NVLink_trt,1,10248,763,298,441,1176,533
2x2080Ti_NVLink_trt,2,20314,1469,562,875,2324,1065
4x2080Ti_NVLink_trt,4,40056,2980,1127,1721,4641,2122
8x2080Ti_NVLink_trt,8,77680,5978,2215,3379,9055,4210
2080Ti_NVLink_trt2,1,9995,686,260,382,1073,518
2x2080Ti_NVLink_trt2,2,20294,1489,566,878,2327,1057
4x2080Ti_NVLink_trt2,4,40399,2898,1042,1725,4630,2109
8x2080Ti_NVLink_trt2,8,78525,5837,2056,3391,9006,4211
2080Ti_XLA_trt,1,12068,803,290,429,1239,658
2x2080Ti_XLA_trt,2,23887,1564,558,867,2461,1365
4x2080Ti_XLA_trt,4,47108,3131,1078,1726,4908,2736
8x2080Ti_XLA_trt,8,91689,6238,2145,3298,9652,5395
2080Ti_XLA_trt2,1,12138,813,291,428,1239,744
2x2080Ti_XLA_trt2,2,23924,1569,546,875,2484,1346
4x2080Ti_XLA_trt2,4,47557,3034,1011,1730,4925,2966
8x2080Ti_XLA_trt2,8,91853,6143,1994,3337,9688,5916
2080Ti_trt,1,10289,768,301,442,1176,534
2x2080Ti_trt,2,20440,1465,568,877,2324,1065
4x2080Ti_trt,4,40265,2987,1130,1751,4629,2140
8x2080Ti_trt,8,78388,5965,2228,3422,9082,4234
2080Ti_trt2,1,10337,769,301,445,1188,569
2x2080Ti_trt2,2,20379,1508,566,883,2348,1070
4x2080Ti_trt2,4,40504,2903,1044,1738,4673,2272
8x2080Ti_trt2,8,79146,5840,2081,3374,9103,4551
3080,1,14297,928,367,490,1469,825
3080_XLA,1,16192,952,359,486,1530,964
A100-SXM4,1,18917,1419,587,772,2092,1309
2xA100-SXM4,2,37559,2835,1170,1538,4145,2615
4xA100-SXM4,4,74526,5651,2335,3066,8260,5218
8xA100-SXM4,8,146827,11253,4621,6106,16631,10354
A100-SXM4_XLA,1,20953,1452,583,785,2185,1429
2xA100-SXM4_XLA,2,41603,2886,1151,1554,4354,2852
4xA100-SXM4_XLA,4,82543,5755,2289,3054,8668,5691
8xA100-SXM4_XLA,8,160655,11459,4543,6171,17117,11328
QuadroRTX8000_NVLink_XLA_trt,1,13729,963,397,537,1414,790
2xQuadroRTX8000_NVLink_XLA_trt,2,26930,1902,773,1068,2843,1565
4xQuadroRTX8000_NVLink_XLA_trt,4,53767,3824,1536,2110,5670,3128
8xQuadroRTX8000_NVLink_XLA_trt,8,104523,7626,3080,4193,11318,6265
QuadroRTX8000_NVLink_XLA_trt2,1,13941,962,407,543,1446,797
2xQuadroRTX8000_NVLink_XLA_trt2,2,27148,1882,781,1064,2852,1564
4xQuadroRTX8000_NVLink_XLA_trt2,4,53419,3707,1501,2111,5632,3105
8xQuadroRTX8000_NVLink_XLA_trt2,8,104215,7383,2984,4226,11200,6188
QuadroRTX8000_NVLink_trt,1,11454,876,388,522,1284,599
2xQuadroRTX8000_NVLink_trt,2,22515,1725,755,1030,2557,1190
4xQuadroRTX8000_NVLink_trt,4,44756,3455,1511,2059,5094,2375
8xQuadroRTX8000_NVLink_trt,8,88095,6915,3018,4073,10190,4756
QuadroRTX8000_NVLink_trt2,1,11561,886,392,527,1297,603
2xQuadroRTX8000_NVLink_trt2,2,22617,1732,758,1036,2571,1189
4xQuadroRTX8000_NVLink_trt2,4,44604,3406,1473,2054,5087,2367
8xQuadroRTX8000_NVLink_trt2,8,87861,6799,2921,4055,10091,4710
QuadroRTX8000_XLA_trt,1,13813,974,401,540,1440,791
2xQuadroRTX8000_XLA_trt,2,27021,1910,777,1064,2846,1565
4xQuadroRTX8000_XLA_trt,4,53757,3826,1545,2135,5635,3124
8xQuadroRTX8000_XLA_trt,8,104444,7699,3079,4235,11337,6272
QuadroRTX8000_XLA_trt2,1,13987,964,401,544,1445,798
2xQuadroRTX8000_XLA_trt2,2,27095,1878,772,1062,2846,1562
4xQuadroRTX8000_XLA_trt2,4,53588,3708,1503,2123,5664,3113
8xQuadroRTX8000_XLA_trt2,8,105006,7428,2996,4202,11247,6221
QuadroRTX8000_trt,1,11500,880,389,523,1283,601
2xQuadroRTX8000_trt,2,22566,1728,756,1034,2556,1192
4xQuadroRTX8000_trt,4,44998,3456,1514,2060,5117,2380
8xQuadroRTX8000_trt,8,88948,6945,3041,4101,10190,4756
QuadroRTX8000_trt2,1,11560,887,393,526,1294,603
2xQuadroRTX8000_trt2,2,22555,1730,757,1037,2572,1189
4xQuadroRTX8000_trt2,4,44818,3425,1478,2063,5089,2378
8xQuadroRTX8000_trt2,8,88754,6878,2946,4074,10152,4762
V100,1,14427,1092,471,649,1712,805
8xV100,8,102089,7797,3278,4936,12843,6080
