name_gpu,num_gpu,watt,price,alexnet,inception3,inception4,resnet152,resnet50,vgg16
RTX 3080,1,320,1642,448,56,12,24,56,24
2x RTX 3080,2,640,3284,896,112,24,48,112,48
3x RTX 3090,3,1050,9426,2688,336,72,144,336,144
A100 40GB PCIe,1,250,12785,1792,224,56,112,224,224
2x A100 40GB PCIe,2,500,25570,3584,448,112,224,448,448
4x A100 40GB PCIe,4,1000,51140,7168,896,224,448,896,896
8x A100 40GB PCIe,8,2000,102280,14336,1792,448,896,1792,1792
RTX A6000,1,300,5785,2048,256,64,128,256,256
2x RTX A6000,2,600,11570,4096,512,128,256,512,512
4x RTX A6000,4,1200,23140,8192,1024,256,512,1024,1024
8x RTX A6000,8,2400,46280,16384,2048,512,1024,2048,2048
RTX 3090,1,350,3142,896,112,24,48,112,48
2x RTX 3090,2,700,6284,1792,224,48,96,224,96
4x RTX 3090,4,1400,12568,3584,448,96,192,448,192
8x RTX 3090,8,2800,25136,7168,896,192,384,896,384
2x RTX 2080Ti NVLink,2,500,3856,1024,128,32,64,128,112
4x RTX 2080Ti NVLink,4,1000,7712,2048,256,64,128,256,224
8x RTX 2080Ti NVLink,8,2000,15424,4096,512,128,256,512,448
RTX 2080Ti,1,250,1928,512,64,16,32,64,56
2x RTX 2080Ti,2,500,3856,1024,128,32,64,128,112
4x RTX 2080Ti,4,1000,7712,2048,256,64,128,256,224
8x RTX 2080Ti,8,2000,15424,4096,512,128,256,512,448
2x RTX 8000 NVLink,2,520,13800,4096,512,128,256,512,512
4x RTX 8000 NVLink,4,1040,27600,8192,1024,256,512,1024,1024
8x RTX 8000 NVLink,8,2080,55200,16384,2048,512,1024,2048,2048
RTX 8000,1,260,6900,2048,256,64,128,256,256
2x RTX 8000,2,520,13800,4096,512,128,256,512,512
4x RTX 8000,4,1040,27600,8192,1024,256,512,1024,1024
8x RTX 8000,8,2080,55200,16384,2048,512,1024,2048,2048
Lambda Cloud — RTX A6000,1,300,5785,2048,256,64,128,256,256
Lambda Cloud — 2x RTX A6000,2,600,11570,4096,512,128,256,512,512
Lambda Cloud — 4x RTX A6000,4,1200,23140,8192,1024,256,512,1024,1024
V100 32GB,1,250,11357,1536,192,48,96,192,192
8x V100 32GB,8,2000,90856,12288,1536,384,768,1536,1536
RTX 2080 SUPER MAX-Q,1,80,600,384,48,12,32,48,48
GTX 1080Ti,1,250,892,512,64,16,32,64,56
RTX 2070 MAX-Q,1,90,600,384,48,12,32,48,48
RTX 2080 MAX-Q,1,90,600,384,48,12,32,44,48
